               data_ora        rad  temperatura
2023-04-06 23:08:12.624  -5.122272        40.35
2023-04-06 23:08:12.832  -5.425021        40.35
2023-04-06 23:08:13.040  -5.324105        40.35
2023-04-06 23:08:13.247  -5.391383        40.35
2023-04-06 23:08:13.468  -5.340924        40.35
2023-04-06 23:08:13.679  -5.425021        40.38
2023-04-06 23:08:13.888  -5.811867        40.35
2023-04-06 23:08:14.095  -5.273647        40.35
2023-04-06 23:08:14.304  -5.441841        40.35
2023-04-06 23:08:14.480  -5.307286        40.35
2023-04-06 23:08:14.688  -5.525938        40.35
2023-04-06 23:08:14.897  -5.660493        40.35
2023-04-06 23:08:15.102  -5.559576        40.35
2023-04-06 23:08:15.301  -5.357744        40.35
2023-04-06 23:08:15.505  -5.492299        40.35
2023-04-06 23:08:15.712  -5.357744        40.35
2023-04-06 23:08:15.922  -5.441841        40.35
2023-04-06 23:08:16.130  -5.727770        40.35
2023-04-06 23:08:16.339  -5.324105        40.35
2023-04-06 23:08:16.547  -5.357744        40.35
2023-04-06 23:08:16.755  -5.357744        40.35
2023-04-06 23:08:16.963  -5.256827        40.35
2023-04-06 23:08:17.171  -5.240008        40.35
2023-04-06 23:08:17.388  -5.256827        40.35
2023-04-06 23:08:17.603  -5.273647        40.35
2023-04-06 23:08:17.810  -5.139092        40.35
2023-04-06 23:08:18.020  -5.054995        40.35
2023-04-06 23:08:18.229  -5.105453        40.35
2023-04-06 23:08:18.404  -4.600871        40.35
2023-04-06 23:08:18.612  -4.937259        40.35
2023-04-06 23:08:18.820  -4.836343        40.35
2023-04-06 23:08:19.023  -5.071814        40.35
2023-04-06 23:08:19.222  -4.869982        40.35
2023-04-06 23:08:19.443  -4.853162        40.35
2023-04-06 23:08:19.652  -5.189550        40.35
2023-04-06 23:08:19.861  -4.937259        40.35
2023-04-06 23:08:20.054  -4.886801        40.35
2023-04-06 23:08:20.262  -5.122272        40.35
2023-04-06 23:08:20.470  -5.071814        40.35
2023-04-06 23:08:20.678  -4.920440        40.35
2023-04-06 23:08:20.887  -5.004537        40.35
2023-04-06 23:08:21.093  -5.139092        40.35
2023-04-06 23:08:21.309  -5.273647        40.35
2023-04-06 23:08:21.527  -5.088634        40.35
2023-04-06 23:08:21.735  -5.324105        40.35
2023-04-06 23:08:21.940  -5.525938        40.35
2023-04-06 23:08:22.150  -5.576396        40.35
2023-04-06 23:08:22.328  -5.324105        40.35
2023-04-06 23:08:22.536  -5.425021        40.35
2023-04-06 23:08:22.744  -5.139092        40.32
2023-04-06 23:08:22.947  -5.425021        40.32
2023-04-06 23:08:23.144  -5.189550        40.32
2023-04-06 23:08:23.352  -5.290466        40.32
2023-04-06 23:08:23.559  -5.122272        40.32
