data_ora,rad,temperatura,elevazione
2023-03-01 02:07:19.338,4805,40.29,25
2023-03-01 02:07:19.556,4801,40.29,25
2023-03-01 02:07:19.759,4793,40.29,25
2023-03-01 02:07:19.963,4782,40.29,25
2023-03-01 02:07:20.166,4795,40.29,25
2023-03-01 02:07:20.384,4800,40.29,25
2023-03-01 02:07:20.588,4797,40.29,25
2023-03-01 02:07:20.791,4804,40.29,25
2023-03-01 02:07:20.994,4795,40.29,25
2023-03-01 02:07:21.213,4808,40.29,25
2023-03-01 02:07:21.416,4823,40.29,25
2023-03-01 02:07:21.634,4825,40.32,25
2023-03-01 02:07:21.837,4825,40.29,25
2023-03-01 02:07:22.056,4818,40.32,25
2023-03-01 02:07:22.275,4813,40.32,25
2023-03-01 02:07:22.478,4817,40.32,25
2023-03-01 02:07:22.650,4824,40.32,25
2023-03-01 02:07:22.853,4810,40.32,25
2023-03-01 02:07:23.056,4835,40.32,25
2023-03-01 02:07:23.259,4806,40.32,25
2023-03-01 02:07:23.462,4844,40.32,25
2023-03-01 02:07:23.681,4827,40.32,25
2023-03-01 02:07:23.884,4849,40.32,25
2023-03-01 02:07:24.103,4827,40.32,25
2023-03-01 02:07:24.306,4809,40.32,25
2023-03-01 02:07:24.509,4814,40.32,25
2023-03-01 02:07:24.728,4819,40.32,25
2023-03-01 02:07:24.931,4815,40.32,25
2023-03-01 02:07:25.134,4805,40.32,25
2023-03-01 02:07:25.337,4814,40.32,25
2023-03-01 02:07:25.556,4804,40.32,25
2023-03-01 02:07:25.759,4791,40.32,25
2023-03-01 02:07:25.962,4790,40.32,25
2023-03-01 02:07:26.181,4808,40.32,25
2023-03-01 02:07:26.400,4797,40.32,25
2023-03-01 02:07:26.572,4781,40.32,25
2023-03-01 02:07:26.775,4770,40.32,25
2023-03-01 02:07:26.978,4778,40.32,25
2023-03-01 02:07:27.181,4776,40.32,25
2023-03-01 02:07:27.384,4772,40.32,25
2023-03-01 02:07:27.603,4777,40.32,25
2023-03-01 02:07:27.806,4779,40.32,25
2023-03-01 02:07:28.009,4779,40.32,25
2023-03-01 02:07:28.228,4783,40.32,25
2023-03-01 02:07:28.431,4786,40.32,25
2023-03-01 02:07:28.650,4787,40.32,25
2023-03-01 02:07:28.853,4764,40.32,25
2023-03-01 02:07:29.056,4772,40.32,25
2023-03-01 02:07:29.275,4758,40.32,25
2023-03-01 02:07:29.478,4774,40.32,25
2023-03-01 02:07:29.681,4783,40.32,25
2023-03-01 02:07:29.884,4786,40.32,25
2023-03-01 02:07:30.103,4795,40.32,25
2023-03-01 02:07:30.321,4807,40.35,25
2023-03-01 02:07:30.493,4806,40.32,25
