rad;T;elevaz;;;
3011;40.26;40;;;
3007;40.26;40;;;
3011;40.26;40;;;
2994;40.26;40;;;
3019;40.26;40;;;
3004;40.26;40;;;
3011;40.26;40;;;
2976;40.26;40;;;
2995;40.26;40;;;
3004;40.29;40;;;
3011;40.29;40;;;
3012;40.29;40;;;
3016;40.29;40;;;
3032;40.29;40;;;
3020;40.29;40;;;
3050;40.29;40;;;
3074;40.29;40;;;
3067;40.29;40;;;
3085;40.29;40;;;
3083;40.29;40;;;
3064;40.29;40;;;
3060;40.29;40;;;
3063;40.29;40;;;
3068;40.29;40;;;
3081;40.32;40;;;
3068;40.32;40;;;
3062;40.32;40;;;
3093;40.32;40;;;
3055;40.32;40;;;
3067;40.32;40;;;
3061;40.32;40;;;
3059;40.32;40;;;
3035;40.32;40;;;
3035;40.32;40;;;
3024;40.32;40;;;
3033;40.35;40;;;
3010;40.35;40;;;
2999;40.32;40;;;
2999;40.35;40;;;
3000;40.32;40;;;
3003;40.35;40;;;
3005;40.35;40;;;
3016;40.35;40;;;
2994;40.35;40;;;
2990;40.35;40;;;
2986;40.35;40;;;
2972;40.35;40;;;
2965;40.35;40;;;
2953;40.35;40;;;
2972;40.35;40;;;
2959;40.35;40;;;
2953;40.35;40;;;
2960;40.35;40;;;
2961;40.35;40;;;
2950;40.35;40;;;
2966;40.35;40;;;
2948;40.35;40;;;
2927;40.35;40;;;
2953;40.35;40;;;
2960;40.35;40;;;
2955;40.35;40;;;
2950;40.35;40;;;
2960;40.35;40;;;
2944;40.35;40;;;
2947;40.35;40;;;
2954;40.35;40;;;
2942;40.35;40;;;
2952;40.35;40;;;
2953;40.35;40;;;
2951;40.35;40;;;
2963;40.35;40;;;
2950;40.35;40;;;
2985;40.35;40;;;
2982;40.35;40;;;
2999;40.35;40;;;
3000;40.35;40;;;
3000;40.35;40;;;
3011;40.35;40;;;
2993;40.35;40;;;
3020;40.35;40;;;
3029;40.35;40;;;
3044;40.35;40;;;
3035;40.35;40;;;
3036;40.35;40;;;
3054;40.38;40;;;
3058;40.35;40;;;
3033;40.38;40;;;
3041;40.38;40;;;
3036;40.38;40;;;
3033;40.38;40;;;
3041;40.38;40;;;
3026;40.38;40;;;
3034;40.38;40;;;
3025;40.38;40;;;
3039;40.38;40;;;
3048;40.35;40;;;
3050;40.35;40;;;
3049;40.35;40;;;
3035;40.35;40;;;
3039;40.35;40;;;
3038;40.35;40;;;
3047;40.35;40;;;
3041;40.35;40;;;
3071;40.35;40;;;
3074;40.35;40;;;
3056;40.35;40;;;
3040;40.35;40;;;
3053;40.35;40;;;
3051;40.35;40;;;
3060;40.35;40;;;
3059;40.35;40;;;
3060;40.35;40;;;
3047;40.35;40;;;
3076;40.35;40;;;
3076;40.35;40;;;
3074;40.35;40;;;
3078;40.35;40;;;
3090;40.35;40;;;
3061;40.35;40;;;
3064;40.35;40;;;
3031;40.35;40;;;
3040;40.35;40;;;
3030;40.35;40;;;
3040;40.35;40;;;
3054;40.35;40;;;
