rad;temperatura;elevazione;;;
3724;40.38;25;;;
3718;40.38;25;;;
3720;40.38;25;;;
3722;40.38;25;;;
3742;40.38;25;;;
3738;40.38;25;;;
3748;40.38;25;;;
3755;40.38;25;;;
3769;40.38;25;;;
3766;40.38;25;;;
3780;40.38;25;;;
3775;40.38;25;;;
3796;40.38;25;;;
3782;40.38;25;;;
3792;40.38;25;;;
3779;40.38;25;;;
3786;40.38;25;;;
3788;40.38;25;;;
3790;40.38;25;;;
3802;40.38;25;;;
3791;40.38;25;;;
3804;40.38;25;;;
3789;40.38;25;;;
3787;40.38;25;;;
3771;40.35;25;;;
3773;40.35;25;;;
3777;40.35;25;;;
3785;40.35;25;;;
3770;40.35;25;;;
3772;40.35;25;;;
3777;40.35;25;;;
3783;40.35;25;;;
3767;40.35;25;;;
3763;40.35;25;;;
3781;40.35;25;;;
3758;40.35;25;;;
3767;40.35;25;;;
3754;40.35;25;;;
3765;40.35;25;;;
3781;40.35;25;;;
3759;40.32;25;;;
3788;40.32;25;;;
3788;40.32;25;;;
3792;40.32;25;;;
3811;40.32;25;;;
3826;40.32;25;;;
3813;40.32;25;;;
3803;40.32;25;;;
3797;40.32;25;;;
3824;40.32;25;;;
3800;40.32;25;;;
3798;40.32;25;;;
3809;40.32;25;;;
3814;40.32;25;;;
3801;40.32;25;;;
3802;40.32;25;;;
3813;40.32;25;;;
3835;40.32;25;;;
3838;40.32;25;;;
3852;40.32;25;;;
3859;40.32;25;;;
3867;40.32;25;;;
3862;40.32;25;;;
3872;40.32;25;;;
3887;40.32;25;;;
3903;40.32;25;;;
3909;40.32;25;;;
3900;40.32;25;;;
3896;40.29;25;;;
3882;40.29;25;;;
3886;40.29;25;;;
3888;40.29;25;;;
3900;40.29;25;;;
3899;40.29;25;;;
3893;40.29;25;;;
3878;40.29;25;;;
3888;40.29;25;;;
3883;40.29;25;;;
3899;40.29;25;;;
3905;40.29;25;;;
3908;40.29;25;;;
3883;40.29;25;;;
3905;40.29;25;;;
3884;40.29;25;;;
3867;40.29;25;;;
3858;40.29;25;;;
3829;40.26;25;;;
3838;40.26;25;;;
3839;40.26;25;;;
3850;40.26;25;;;
3851;40.26;25;;;
3857;40.26;25;;;
3892;40.26;25;;;
3895;40.26;25;;;
3906;40.26;25;;;
3890;40.26;25;;;
3964;40.26;25;;;
3980;40.26;25;;;
3951;40.26;25;;;
3948;40.26;25;;;
3947;40.26;25;;;
3960;40.26;25;;;
3944;40.26;25;;;
3933;40.26;25;;;
3926;40.26;25;;;
3924;40.26;25;;;
3934;40.26;25;;;
3939;40.26;25;;;
3928;40.26;25;;;
3964;40.26;25;;;
3946;40.22;25;;;
3953;40.22;25;;;
3938;40.22;25;;;
3952;40.22;25;;;
3928;40.22;25;;;
3927;40.22;25;;;
3925;40.22;25;;;
3887;40.22;25;;;
3906;40.22;25;;;
3911;40.22;25;;;
3913;40.22;25;;;
3908;40.22;25;;;
3917;40.22;25;;;
3933;40.22;25;;;
3921;40.22;25;;;
3903;40.22;25;;;
3908;40.22;25;;;
3900;40.22;25;;;
3909;40.22;25;;;
3917;40.22;25;;;
3921;40.22;25;;;
3948;40.22;25;;;
3910;40.22;25;;;
3920;40.22;25;;;
3935;40.22;25;;;
3944;40.22;25;;;
3938;40.22;25;;;
3953;40.22;25;;;
3960;40.22;25;;;
3972;40.22;25;;;
